maintenance
保养	3.91525647685
首保	3.27062098502
机油	2.80734578219
没首保	2.67433817677
工时费	2.44959629924
服务	2.4381133725
保	2.42684003788
费用	2.33244780288
二保	2.3073166682
换油	2.22285238069
没二保	2.18718888935
三保	2.13009708754
一保	2.1196754146
没到	2.042217422
去过	1.92376561909
美孚	1.89397627158
嘉实多	1.87833155856
三滤	1.81305287282
合成	1.79155092856
记不清	1.71004583568
师傅	1.63856856144
4S店	1.63684406854
售后服务	1.61909437463
方便快捷	1.61828033561
好找	1.59900585062
检测	1.58277646658
喷油嘴	1.57403097704
服务态度	1.56961593191
大保	1.56730590356
做过	1.50029195053
怪	1.48823165398
收费	1.46465777741
省心	1.45722578012
4S	1.45720479786
达尔	1.45143809188
脱保	1.41398563624
5W30	1.3764005382
我加	1.36761640821
清洗	1.36686277513
售后	1.33515067132
首保保	1.33184004987
机器	1.33084023872
机滤	1.32087208517
6	1.31414304209
态度	1.2967940571
免费	1.26582217326
免保	1.26151555121
做	1.25164791048
一万公里	1.25141588003
私人	1.22645949524
大黑	1.22358436569
包养	1.19021487855
检修	1.18682500276
诸多	1.17938130931
小保	1.17620153435
保养费	1.17612270071
防冻液	1.17139828263
未	1.1696225799
刹车片	1.1680736576
次	1.16608403799
车况	1.16134310865
清理	1.1609109279
保证	1.15191446489
首保后	1.14497496813
抛弃	1.127869294
便宜	1.12781244694
去年	1.12113257076
每次	1.12105846429
黄壳	1.11550249119
贵	1.11280465794
热情	1.11252825217
问过	1.11194846339
滤	1.10182901441
		1.09991574808
.......	1.0879280735
一次	1.08271318215
月	1.06868538463
杭州	1.05459713208
项目	1.0401166673
完首保	1.03787553705
出差	1.02788069698
报	1.02577654694
车漆	1.01786520423
洗	1.00959469905
滤芯	1.00741321411
略贵	1.00633842995
正品	1.00324867227
不买账	0.995402579648
养	0.988581268899
车友	0.987279672525
凑和	0.983605973888
外面	0.979660317578
没有用完	0.977750196357
道	0.973786793277
元	0.972748705469
等待时间	0.968247376681
一百多	0.968069660744
帮忙	0.966156256283
3	0.958155739354
坑人	0.953739692724

power
动力	3.59071161287
推背	3.34689778132
有劲	2.96579564508
马力	2.93585982367
提速	2.92220772857
加速	2.89325035181
肉	2.85005746477
秒	2.66791823028
超个	2.66165576859
动力性	2.63479186774
爬坡	2.51261045227
加速度	2.50249283844
太肉	2.42842466288
起步	2.40689688653
随叫随到	2.39788719516
刷	2.33728108349
扭	2.32937740047
飙车	2.31913235103
六速	2.30187584437
坡	2.28211154379
强劲	2.28174796296
没敢	2.25233190689
柴油发动机	2.24703680475
舍得	2.24622035947
吃力	2.2272015542
功率	2.20965031233
偏弱	2.1229189873
小马拉	2.12047830998
超车	2.11829568994
有力	2.10339337417
肯给	2.10337722752
爬	2.09899749266
上坡	2.06610998031
澎湃	2.06010046462
爆发力	2.0551442659
驱动力	2.02630002684
力气	1.95583212687
没劲	1.95329645024
还够用	1.94542757281
高功率	1.93645776778
充沛	1.92929538469
直喷	1.90891269435
冲劲	1.90382895273
弱	1.89846244537
偏肉	1.88566129638
源源不断	1.8759873625
马拉	1.87528992338
不给力	1.86543354968
扭矩	1.86447808479
一脚	1.85713042828
无力	1.85093563511
侧重	1.84369223578
飙	1.83749337934
一秒	1.83098858677
秒左右	1.81975115002
没力	1.78455518711
推	1.78009898096
力量	1.76977168815
过剩	1.76837917762
百公斤	1.76461623319
SPORT	1.76173309231
肉车	1.75485806682
动力系统	1.74657443262
飚	1.73867090727
钻上	1.73491364605
三挡	1.7300219926
飙车族	1.72586802131
匹	1.72393494663
很肉	1.68915932212
吸气	1.6802226545
自吸	1.66403435571
脚下	1.66006430085
力不从心	1.66005836282
敢	1.65917431554
转	1.65496981627
重型	1.64946150454
最快	1.64201346451
陡坡	1.64002417697
嗷嗷	1.6343615868
参数	1.62967829829
咆哮	1.6233315603
随有	1.60839588454
肉肉	1.60499692331
满载	1.59358430641
跑不动	1.58777694364
费劲	1.57860589969
地球	1.57246489041
鞭炮	1.56871890464
无敌手	1.55654402869
力	1.54805754518
及时	1.54498844182
带劲	1.5327079104
GTI	1.51888001891
劲	1.51740435528
发动机	1.50810439993
背感	1.50431354343
软绵绵	1.50187665194
火花塞	1.50030442887
速度	1.4973471625
BYD	1.49603579587

space
空间	2.78339524261
空间设计	2.76877098639
能装	2.71604941182
不大不小	2.52721177054
宽敞明亮	2.51056368144
宽敞	2.45528795622
行李	2.28688388442
内部空间	2.23570383817
两座	2.22996025647
多变	2.22387063141
身高	2.16249695179
前后排	2.149200265
宽松	2.11193966292
三口	2.09320737124
后备箱	2.06275528541
敞亮	2.01396015024
顶头	2.01008873179
拉人拉货	1.99756944953
宽裕	1.9709221203
排放	1.96557770095
局促	1.96024550356
装得	1.95424124864
口之家	1.94517876659
个子	1.92991406241
人用	1.91513948368
尾箱	1.91479308461
二郎腿	1.90240510094
承载能力	1.86366139967
超大	1.84764646149
字大	1.83656002927
狭小	1.82149708929
后箱	1.81519132395
太窄	1.80561183347
算大	1.79871599361
放平	1.79159544135
富裕	1.78153012103
后座	1.77938426614
一家	1.76010975672
两三	1.75989863568
第三排	1.75038988986
大多	1.74234103279
宽大	1.74171259978
七座	1.72992450206
箱	1.71199581483
坐人	1.70652119828
一排	1.68847660746
大大	1.68492041619
拥挤	1.67751042941
想不到	1.67427086427
后移	1.65044252033
加长	1.64623944813
轴距	1.63757237437
180CM	1.62977581804
瘦子	1.62762199612
四座	1.62082041224
很大	1.61394695805
乘用车	1.61316324758
平整	1.61025516613
头发	1.60461619829
沙石	1.59205676065
